experiment,axis,value,hidden_layers,dropout,learning_rate,batch_size,weight_decay,batch_norm,scheduler,best_epoch,trained_epochs,seconds,accuracy_at_0.5,precision_at_0.5,recall_at_0.5,f1_at_0.5,roc_auc,best_threshold,accuracy_at_best,precision_at_best,recall_at_best,f1_at_best,recall70_threshold,precision_at_recall70,recall_at_recall70,f1_at_recall70,device,random_state,evaluated_split
exp01_baseline,baseline,section 3 config,128x64,0.3,0.001,512,0.0,False,none,10,15,30.08,0.7491233240017681,0.23940636594415154,0.7721618642733428,0.3654928265325135,0.8375909810858885,0.74,0.8662884927066451,0.34785522788203754,0.49031648559282004,0.40697902372083905,0.57,0.26273662070577236,0.7080774681152574,0.38326160139770743,mps,42,validation
exp_lr_0.01,learning_rate,0.01,128x64,0.3,0.01,512,0.0,False,none,9,14,28.13,0.7576101370266687,0.24396674102616103,0.7576759565422768,0.36908916586768936,0.8352583082497779,0.67,0.8642551937527626,0.34305768808949333,0.49252086285624314,0.40442174671924497,0.54,0.2614463489081944,0.7013068808061722,0.38089536922221745,mps,42,validation
exp_lr_0.003,learning_rate,0.003,128x64,0.3,0.003,512,0.0,False,none,7,12,26.2,0.7533077943126566,0.24167246693845082,0.7653912769642576,0.36735310787832987,0.8369375748516148,0.69,0.8556947104759098,0.3308772963945378,0.5303101873720674,0.4075015124016939,0.56,0.2647058823529412,0.7028814359943316,0.38457893603273746,mps,42,validation
exp_lr_0.0003,learning_rate,0.0003,128x64,0.3,0.0003,512,0.0,False,none,11,16,32.85,0.7377339030499485,0.23360789241007027,0.7904267044559912,0.36063218390804597,0.8378572892272679,0.7,0.8582142330926772,0.33444646832624975,0.5203904896866636,0.4071952196143658,0.58,0.2658659017569021,0.7005196032120926,0.38544509421702405,mps,42,validation
exp_lr_0.0001,learning_rate,0.0001,128x64,0.3,0.0001,512,0.0,False,none,7,12,24.69,0.7339030499484308,0.23091418853702256,0.7910565265312549,0.3574782979934538,0.8363321188508829,0.7,0.8505819949904229,0.32319462586303416,0.5454259171783971,0.4058820083191751,0.59,0.261034121346221,0.7058730908518344,0.38112646121147714,mps,42,validation
exp_dropout_0,dropout,0.0,128x64,0.0,0.001,512,0.0,False,none,7,12,19.48,0.7618388094887284,0.24607980127309423,0.7487009919697686,0.3704136480486095,0.8364592716239614,0.64,0.8398408722557831,0.3101739057380492,0.5813257754684301,0.4045140791059494,0.54,0.2612392266480317,0.7063454574082821,0.38141393529736856,mps,42,validation
exp_dropout_0.1,dropout,0.1,128x64,0.1,0.001,512,0.0,False,none,7,12,24.96,0.7550022101075585,0.24215966681720105,0.7598803338056999,0.36727549467275494,0.8369003231676048,0.67,0.8469574185943716,0.31865564342199854,0.5583372697213037,0.40574403569998285,0.55,0.2613893563925483,0.709179656746969,0.3819862607073191,mps,42,validation
exp_dropout_0.2,dropout,0.2,128x64,0.2,0.001,512,0.0,False,none,11,16,33.84,0.7447915131869751,0.23728326468052496,0.7800346402141395,0.3638767490543171,0.8374184324219553,0.74,0.8691616325327832,0.35322112594312244,0.4791371437568887,0.40665508485901375,0.57,0.2615967365967366,0.7068178239647299,0.38186380843009654,mps,42,validation
exp_dropout_0.5,dropout,0.5,128x64,0.5,0.001,512,0.0,False,none,10,15,31.45,0.7456460881096213,0.23703489492963178,0.7743662415367658,0.3629654230783424,0.8380816503523126,0.71,0.8560188595844997,0.33166026965849815,0.5306250984096993,0.40818798449612403,0.58,0.26637632740723066,0.7030388915131476,0.38636265305239476,mps,42,validation
exp_hidden_256,hidden_layers,256,256,0.3,0.001,512,0.0,False,none,10,15,22.84,0.7426108737291881,0.23553758325404378,0.7795622736576917,0.3617697563114245,0.8375691015283111,0.7,0.8539560925298364,0.32914307648018426,0.5400724295386553,0.4090150250417362,0.57,0.26126544104854144,0.7093371122657849,0.38187674832584556,mps,42,validation
exp_hidden_64x32,hidden_layers,64x32,64x32,0.3,0.001,512,0.0,False,none,11,16,30.26,0.7472226315013998,0.23882040125694948,0.7778302629507164,0.36543867436011246,0.837980771732397,0.69,0.8508914100486223,0.3233998688032987,0.54337899543379,0.4054752673011397,0.58,0.2660977501939488,0.7020941584002519,0.3859269517050372,mps,42,validation
exp_hidden_256x128,hidden_layers,256x128,256x128,0.3,0.001,512,0.0,False,none,10,15,26.44,0.7493001326064536,0.23944487881157153,0.771532042198079,0.3654670893156815,0.8375298675412838,0.73,0.8622660969500515,0.34157944814462415,0.5087387812942844,0.40872865275142317,0.57,0.26308992721296076,0.7057156353330184,0.3832898618890837,mps,42,validation
exp_hidden_128x64x32,hidden_layers,128x64x32,128x64x32,0.3,0.001,512,0.0,False,none,7,12,23.7,0.7538382201267129,0.24164255064364834,0.7625570776255708,0.3669912476793089,0.837304400728823,0.7,0.8578753499336967,0.3337705579658965,0.5208628562431113,0.4068380273029148,0.57,0.26223469566742674,0.7061880018894662,0.3824507546687132,mps,42,validation
exp_hidden_256x128x64,hidden_layers,256x128x64,256x128x64,0.3,0.001,512,0.0,False,none,7,12,23.91,0.7606895535582732,0.2454054054054054,0.7505904581955598,0.36987895716945995,0.8369080463430144,0.69,0.8574038603212023,0.3330657300551932,0.5225948669500866,0.40683991174307427,0.56,0.2638609764747606,0.7028814359943316,0.38368644978297306,mps,42,validation
exp_batch_128,batch_size,128,128x64,0.3,0.001,128,0.0,False,none,4,9,43.97,0.7543686459407691,0.24233496454609008,0.7641316328137301,0.3679720969026045,0.8380135059666641,0.65,0.8495506114630912,0.32322769738047263,0.5556605259014329,0.40870924778504836,0.55,0.2646450316249926,0.7049283577389388,0.38482035413443355,mps,42,validation
exp_batch_256,batch_size,256,128x64,0.3,0.001,256,0.0,False,none,7,12,43.86,0.7449241196404892,0.2365777457341985,0.7749960636120296,0.3624981587862719,0.8369769636860693,0.69,0.8537203477235892,0.3269807487665667,0.5321996535978586,0.40508149568552254,0.56,0.26140136292154464,0.7066603684459141,0.3816326530612245,mps,42,validation
exp_batch_1024,batch_size,1024,128x64,0.3,0.001,1024,0.0,False,none,4,9,12.05,0.7342124650066303,0.23160650316891707,0.7940481813887577,0.35861333333333334,0.8377277446373144,0.7,0.8588035951082953,0.3354043593399878,0.5185010234608723,0.4073226544622426,0.58,0.2650766408238149,0.7052432687765706,0.38532346868547834,mps,42,validation
exp_batch_2048,batch_size,2048,128x64,0.3,0.001,2048,0.0,False,none,1,6,6.52,0.7373360836894062,0.23254404773002704,0.7855455833726972,0.35885632080561053,0.8354576352808104,0.69,0.8469426845439811,0.3187572955014816,0.5589670917965675,0.40599268069533395,0.58,0.2588662706879649,0.7068178239647299,0.3789464798244133,mps,42,validation
exp_wd_1e-05,weight_decay,1e-05,128x64,0.3,0.001,512,1e-05,False,none,10,15,32.31,0.7468248121408575,0.2380537821628942,0.7749960636120296,0.36422836422836424,0.8376530160366729,0.69,0.843259171946368,0.3146562905317769,0.5729806329711856,0.40622906898861355,0.58,0.26413642015513056,0.7024090694378838,0.3839070567986231,mps,42,validation
exp_wd_0.0001,weight_decay,0.0001,128x64,0.3,0.001,512,0.0001,False,none,10,15,32.27,0.7459260350670399,0.23748011760736493,0.7757833412061093,0.36364307328954165,0.8377763628903364,0.73,0.8618830116398998,0.3404749340369393,0.5079515037002047,0.407683558700872,0.58,0.2647859001656021,0.7049283577389388,0.384969259211488,mps,42,validation
exp_wd_0.001,weight_decay,0.001,128x64,0.3,0.001,512,0.001,False,none,7,12,26.24,0.7557094445263003,0.24258895767275657,0.7589356006928043,0.36765827612509533,0.8365807385530722,0.66,0.8445999705318992,0.3168645251396648,0.5715635333018422,0.40770483517717754,0.56,0.2658462273732003,0.7006770587309085,0.3854482459939368,mps,42,validation
exp_batchnorm,batch_norm,True,128x64,0.3,0.001,512,0.0,True,none,10,15,32.14,0.7284809194047444,0.22888699322049116,0.8027082349236341,0.35620458356623813,0.837554073649465,0.71,0.8510240165021364,0.3244303324617109,0.5470004723665565,0.40729233835512046,0.6,0.2625557380896503,0.7046134467013069,0.3825603761487497,mps,42,validation
exp_sched_cosine,scheduler,cosine,128x64,0.3,0.001,512,0.0,False,cosine,10,15,34.28,0.7481361426256078,0.23852407145986468,0.771532042198079,0.3643935450286309,0.8377475881431804,0.73,0.8628701930160602,0.341857479135459,0.5030703826169107,0.40708415620819266,0.57,0.26373239436619716,0.7076051015588096,0.3842503526997563,mps,42,validation
exp_sched_plateau,scheduler,plateau,128x64,0.3,0.001,512,0.0,False,plateau,10,15,33.05,0.7440400766170621,0.2365036101946158,0.778774996063612,0.3628227699530516,0.8378333070719775,0.72,0.8585825843524385,0.3343536373839404,0.5159817351598174,0.40577018325903913,0.58,0.26541745730550287,0.7047709022201228,0.3856127503769115,mps,42,validation
exp99_combined,combined,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.5, ""hidden_layers"": [256], ""learning_rate"": 0.003, ""scheduler"": ""cosine"", ""weight_decay"": 0.001}",256,0.5,0.003,128,0.001,True,cosine,4,9,74.44,0.7411816708413143,0.23473201192109372,0.781294284364667,0.36100400145507455,0.8353045129305011,0.66,0.8514071018122882,0.3229660534799924,0.5362934970870729,0.4031484878972599,0.56,0.2614432508173751,0.7050858132577547,0.3814472507346991,mps,42,validation
